istat_code,comune,variant,archive_path,archive_exists,zip_integrity,shp_layer_count,all_shp_have_dbf_shx,any_prj,metadata_crs,crs_control,layer_component_checks,technical_integrity
030118,Tavagnacco,Variant 22,C:\Users\visen\OneDrive\Università\UniUD\Tesi\5_HUB_FVG\02_external_sources\F3_CHAT_3_8\municipalities\030118_tavagnacco\Tavagnacco_6708.zip,True,PASS,17,True,True,RDN2008-TM33NE,SELF_DESCRIBED_PRJ_AND_METADATA,Tavagnacco/AreeConvenzionate_11_6708.shp:dbf=True;shx=True;prj=True;cpg=False | Tavagnacco/CENTRO_Zonizzazione_13_6708.shp:dbf=True;shx=True;prj=True;cpg=False | Tavagnacco/Elettrodotti_ok_6708.shp:dbf=True;shx=True;prj=True;cpg=False | Tavagnacco/FasceVerdi_11_6708.shp:dbf=True;shx=True;prj=True;cpg=False | Tavagnacco/Fasce_Rispetto_14_6708.shp:dbf=True;shx=True;prj=True;cpg=False | Tavagnacco/FilariSiepi_ok_6708.shp:dbf=True;shx=True;prj=True;cpg=False | Tavagnacco/PercorsiIntAgric_6708.shp:dbf=True;shx=True;prj=True;cpg=False | Tavagnacco/Perimetro_PAC_14_6708.shp:dbf=True;shx=True;prj=True;cpg=False | Tavagnacco/PisteCiclabili_11_6708.shp:dbf=True;shx=True;prj=True;cpg=False | Tavagnacco/PratiStabili_ok_6708.shp:dbf=True;shx=True;prj=True;cpg=False | Tavagnacco/RIR_6708.shp:dbf=True;shx=True;prj=True;cpg=False | Tavagnacco/SIMBOLI_6708.shp:dbf=True;shx=True;prj=True;cpg=False | Tavagnacco/SNAM_rete_6708.shp:dbf=True;shx=True;prj=True;cpg=False | Tavagnacco/StradePrivate_11_6708.shp:dbf=True;shx=True;prj=True;cpg=False | Tavagnacco/SUPPORTO_6708.shp:dbf=True;shx=True;prj=True;cpg=False | Tavagnacco/VisualiDaTutelare_11_6708.shp:dbf=True;shx=True;prj=True;cpg=False | Tavagnacco/Zonizzazione_13_6708.shp:dbf=True;shx=True;prj=True;cpg=False,PASS
031007,Gorizia,Variant 61,C:\Users\visen\OneDrive\Università\UniUD\Tesi\5_HUB_FVG\02_external_sources\F3_CHAT_3_8\municipalities\031007_gorizia\Gorizia_6708.zip,True,PASS,73,True,False,RDN2008-TM33NE,METADATA_CRS_ONLY_PRJ_ABSENT,Gorizia/ARIA_Sottozone.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/CENTRO_imm_vinc_dir2.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/CENTRO_imm_vinc_ind01.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/CENTRO_TESTOSTRADARIO.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/CENTRO_Testo_Unita_edilizie.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/EPC/area_di_attesa.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/Frazioni_non_metanizzate_2022.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/GT_Lotti_edificati.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/GT_Unita_edilizie.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/Impianti_telefonia_mobile_2019.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/P8A_AREA.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/P8A_LINEA.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PAI/CENTRO_Testi_Cod_Frana01.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PAI/IFFI_RAFVG_Frane_punti01.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PAI/IS_ULTERIORI_GRIGIE.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PAI/PAI_ITPB_RAFVG_geo_ER_gbe_Area.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PAI/PAI_ITPB_RAFVG_geo_ER_gbe_Line.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PAI/PAI_ITPB_RAFVG_geo_OMA_gbe.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PAI/PAI_ITPB_RAFVG_geo_OML_gbe.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PAI/Pericolosita_geologica_ELAB.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PAI/Pericolosita_idraulica.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PAI/Pericolosita_idraulica_ELAB.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/Patrimonio_Gruppi_edifici.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PCCA/PCCA_A.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PCCA/PCCA_L.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/Perimetro_Incendi.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PGRA/PGRA_GORIZIA.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PGRA/RISCHIO_Gorizia.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/Piano_Struttura_Ambiti1.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PPR/Alvei1.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PPR/Aste1.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PPR/Corsi_Acqua_Fasce_di_rispetto1.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PPR/Galasso_Laghi_PRGC1.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PPR/Laghi_PRGC1.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PPR/Perimetri_Beni_tutelati1.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PPR/Territori_coperti_da_foreste_e_boschi1.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PPR/Zone_A_e_B_al_1985_1.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/PratiStabili_Esclusi2020.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/Prati_stabili_13_09_2023.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/Punto_nuovo_incendio.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/Strumenti_esecutivi_vigenti3.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/SUPPORTO/CONFINE.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/VAR_43_44/Aree_per_le_sedi_stradali.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/VAR_43_44/C_Patrimonio_Testi.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/VAR_43_44/Patrimonio.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/VAR_46_47/CENTRO_AZZONAMENTO.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/VAR_46_47/CENTRO_SERVIZI.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/VAR_46_47/P2_AUA.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/VAR_46_47/P2_Azzonamento.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/VAR_46_47/P2_Azzonamento_S.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/VAR_46_47/SIMBOLI.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Aree_non_edificabili_PRG.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Argine_Isonzo.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Boschi_FVG_01.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Corsi_d_acqua_AREA.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Corsi_d_acqua_LINEA.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Fasce_di_rispetto.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_FdR_Elettrodotti.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_FdR_Metanodotti.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Galasso_032015.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Immobili_soggetti_a_Vincolo_diretto2.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Immobili_soggetti_a_Vincolo_indiretto.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Impianti_tecnologici_PRG01.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Laghi.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Perimetro_ARIA.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Perimetro_Centro_abitato.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Perimetro_Centro_storico.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Progetto_di_bonifica_AREA.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Progetto_di_bonifica_CENTRO.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Salvaguardia_risorse_idriche.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Sponde_Isonzo.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Strade_di_progetto_Ambiti.shp:dbf=True;shx=True;prj=False;cpg=False | Gorizia/V_Vincolo_idrogeologico_FVG.shp:dbf=True;shx=True;prj=False;cpg=False,PASS
031012,Monfalcone,Variant 71,C:\Users\visen\OneDrive\Università\UniUD\Tesi\5_HUB_FVG\02_external_sources\F3_CHAT_3_8\municipalities\031012_monfalcone\Monfalcone_6708.zip,True,PASS,25,True,False,RDN2008-TM33NE,METADATA_CRS_ONLY_PRJ_ABSENT,Monfalcone/PGRA/Pericoli_FILTRO_A.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/PGRA/Rischio_FILTRO_A.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VAR_47/Acque.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VAR_47/Biotopo.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VAR_47/Edifici_di_interesse.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VAR_47/Elementi_lineari.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VAR_47/Fasce_di_rispetto.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VAR_49/Confine_originale.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VAR_63/CENTRO_Interventi_Puntuali_Testo.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VAR_63/Elementi_puntuali.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VAR_63/Interventi_Puntuali.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VAR_63_MODI/CONO.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VAR_69/CENTRO_Testi_PRG.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VAR_69/Zone_PRG.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VAR_70/Ambiti_di_piano_attuativo.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VINCOLI/Ambiti_sicurezza_IDRAULICA.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VINCOLI/Centro_Abitato.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VINCOLI/CENTRO_VINC_PAESAGG.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VINCOLI/PianoCarsoV1.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VINCOLI/TERRITORI_CONTERMINI_LAGHI_FIUMI.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VINCOLI/TERRITORI_COSTIERI.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VINCOLI/Vincoli_Altri_Temi_LINE.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VINCOLI/Vincolo_IDROGEOLOGICO.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VINCOLI/VINCOLO_PAESAGGISTICO.shp:dbf=True;shx=True;prj=False;cpg=False | Monfalcone/VINCOLI/VINC_AEREO.shp:dbf=True;shx=True;prj=False;cpg=False,PASS
031018,San Canzian d'Isonzo,Variant 29,C:\Users\visen\OneDrive\Università\UniUD\Tesi\5_HUB_FVG\02_external_sources\F3_CHAT_3_8\municipalities\031018_sancanziandisonzo\SanCanziandIsonzo_6708.zip,True,PASS,31,True,True,RDN2008-TM33NE,SELF_DESCRIBED_PRJ_AND_METADATA,SanCanziandIsonzo/Alberature_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/AmbitoSuZona_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/AreePercorseIncendio_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/ARIA_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/Attracchi_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/BorgoRurale_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/CENTRO_NumZona1_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/CENTRO_SiglaServizio_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/CENTRO_Testo_Edifici1_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/CENTRO_Testo_PRPC_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/Edifici2_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/Elettrodotto_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/Metanodotto_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/PCS_Isonzo_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/PercCicloPedonale_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/PrescrizioniParticolari_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/PRPC_Approvato_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/PRPC_Progetto_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/RispAllevamenti_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/RispCimitero_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/RispElettrodotto_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/RispettoGalasso_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/RispFerrovia_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/RispMetanodotto_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/RispPozzo_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/RispViabilita_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/SIC_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/Simbolo_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/ViabProgetto_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/VincArcheologico_6708.shp:dbf=True;shx=True;prj=True;cpg=False | SanCanziandIsonzo/ZonaOmogenea1_6708.shp:dbf=True;shx=True;prj=True;cpg=False,PASS
