source_dataset_id,municipality_code,source_layer,native_zone_code,native_zone_description,generator_class,mapping_rule,mapping_status,evidence,notes,source_feature_count
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,ES,ZONA_OM=ES | ART_NTA=17/17.4,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,5
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,ESPAN_EZ,ZONA_OM=ESPAN_EZ | ART_NTA=31,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,2
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,EZ,ZONA_OM=EZ | ART_NTA=17/17.5,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,3
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,H2,ZONA_OM=H2 | ART_NTA=18.1,G2_COMMERCIAL_TERTIARY,FVG_H_FAMILY_ZONE_CODE,RESOLVED_INCLUDED,Official current/best-available PRGC vector; native attributes preserved,,2
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,H21,ZONA_OM=H21 | ART_NTA=18.6,G2_COMMERCIAL_TERTIARY,FVG_H_FAMILY_ZONE_CODE,RESOLVED_INCLUDED,Official current/best-available PRGC vector; native attributes preserved,,1
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,H3,ZONA_OM=H3 | ART_NTA=18.2,G2_COMMERCIAL_TERTIARY,FVG_H_FAMILY_ZONE_CODE,RESOLVED_INCLUDED,Official current/best-available PRGC vector; native attributes preserved,,6
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,H4,ZONA_OM=H4 | ART_NTA=18.4,G2_COMMERCIAL_TERTIARY,FVG_H_FAMILY_ZONE_CODE,RESOLVED_INCLUDED,Official current/best-available PRGC vector; native attributes preserved,,2
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,HG,ZONA_OM=HG | ART_NTA=18.5,G2_COMMERCIAL_TERTIARY,FVG_H_FAMILY_ZONE_CODE,RESOLVED_INCLUDED,Official current/best-available PRGC vector; native attributes preserved,,2
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,PARK,ZONA_OM=PARK | ART_NTA=-,,GENERIC_PARKING_NON_GENERATOR,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,12
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,S,ZONA_OM=S | ART_NTA=19/20,,GENERIC_SERVICE_WITHOUT_RELEVANT_COMPONENT,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,22
